2012-10-18	 	2012-10-17	 	SULTAN FASTFOO	 	-75,00	 	447,82
2012-10-17	 	2012-10-16	 	ICA NARA BERGS	 	-63,00	 	522,82
2012-10-17	 	2012-10-15	 	COOP KONSUM BE	 	-81,35	 	585,82
2012-10-16	 	2012-10-15	 	ICA SUPERMARKE	 	-41,90	 	667,17
2012-10-16	 	2012-10-14	 	COOP KONSUM BE	 	-170,81	 	709,07
2012-10-15	 	2012-10-11	 	DA GIULIANO	 	-89,00	 	879,88
2012-10-15	 	2012-10-12	 	JERNVEGSGRILLE	 	-70,00	 	968,88
2012-10-15	 	2012-10-13	 	COOP KONSUM SL	 	-46,45	 	1 038,88
2012-10-15	 	2012-10-11	 	COOP NARA KRIS	 	-10,20	 	1 085,33
2012-10-15	 	2012-10-12	 	1815 KONTANTEN	 	-300,00	 	1 095,53
2012-10-11	 	2012-10-11	 	BANKOMAT 21.18	 	-100,00	 	1 395,53
2012-10-11	 	2012-10-10	 	JARNVAGSCAFEET	 	-39,00	 	1 495,53
2012-10-10	 	2012-10-08	 	COOP KONSUM BE	 	-100,60	 	1 534,53
2012-10-09	 	2012-10-08	 	PIZZA HORNAN	 	-65,00	 	1 635,13
2012-10-08	 	2012-10-07	 	SPOTIFY 8 PREM	 	-99,00	 	1 700,13
2012-10-08	 	2012-10-05	 	ICA SUPERMARKE	 	-33,40	 	1 799,13
2012-10-08	 	2012-10-04	 	COOP KONSUM BE	 	-137,87	 	1 832,53
2012-10-08	 	2012-10-04	 	BURGER KING OD	 	-55,00	 	1 970,40
2012-10-06	 	2012-10-06	 	BANKOMAT 17.18	 	-200,00	 	2 025,40
2012-10-05	 	2012-10-05	 	BANKOMAT 20.05	 	-200,00	 	2 225,40
2012-10-05	 	2012-10-03	 	COOP KONSUM BE	 	-33,95	 	2 425,40
2012-10-04	 	2012-10-03	 	T SNABBEN	 	-230,00	 	2 459,35
2012-10-04	 	2012-10-04	 	LION BAR	 	-49,00	 	2 689,35
2012-10-04	 	2012-10-02	 	COOP KONSUM BE	 	-20,30	 	2 738,35
2012-10-04	 	2012-10-02	 	COOP KONSUM BE	 	-15,40	 	2 758,65
2012-10-04	 	2012-10-04	 	00091702944735	 	2 000,00	 	2 774,05
